
Gurobi 9.0.2 (win64) logging started Wed Jan 12 13:40:59 2022

Changed value of parameter LogFile to logs\SDCRVRP_10-2-7-100_3_0.LOG
   Prev:   Default: 
Changed value of parameter Seed to 192459220
   Prev: 0  Min: 0  Max: 2000000000  Default: 0
Changed value of parameter Threads to 2
   Prev: 0  Min: 0  Max: 1024  Default: 0
Changed value of parameter TimeLimit to 1200.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Changed value of parameter Symmetry to 2
   Prev: -1  Min: -1  Max: 2  Default: -1
Changed value of parameter Cuts to 2
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter PreDepRow to 1
   Prev: -1  Min: -1  Max: 1  Default: -1
Changed value of parameter ScaleFlag to 1
   Prev: -1  Min: -1  Max: 3  Default: -1
Changed value of parameter NormAdjust to 0
   Prev: -1  Min: -1  Max: 3  Default: -1
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (win64)
Optimize a model with 10461 rows, 6526 columns and 43445 nonzeros
Model fingerprint: 0x882fb01e
Variable types: 92 continuous, 6434 integer (4318 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+06]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+04]
  RHS range        [1e+00, 1e+06]
Presolve removed 9714 rows and 5835 columns
Presolve time: 0.20s
Presolved: 747 rows, 691 columns, 5028 nonzeros
Variable types: 51 continuous, 640 integer (640 binary)

Root relaxation: objective 1.143481e+03, 211 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1143.48051    0   24          - 1143.48051      -     -    0s
     0     0 1143.48051    0   24          - 1143.48051      -     -    0s
     0     0 1143.48051    0   20          - 1143.48051      -     -    0s
     0     0 1143.48051    0   28          - 1143.48051      -     -    0s
     0     0 1143.48051    0   22          - 1143.48051      -     -    0s
     0     0 1143.48051    0   20          - 1143.48051      -     -    0s
     0     0 1143.48051    0   24          - 1143.48051      -     -    0s
     0     0 1143.48051    0   20          - 1143.48051      -     -    0s
     0     0 1143.48051    0   19          - 1143.48051      -     -    0s
     0     2 1143.48051    0   19          - 1143.48051      -     -    1s
  4106  2500 1205.03469   92   10          - 1163.03495      -   8.9    5s
 11085  7344 1163.86584   21   35          - 1163.32173      -   9.5   10s
 18349 12260 infeasible   73               - 1163.34236      -   9.9   15s
 24480 16388 1168.76331   44   26          - 1163.40225      -  10.2   20s
*24610 15884              86    1250.0755652 1163.40225  6.93%  10.2   20s
*25099 12835              35    1200.2060067 1163.42575  3.06%  10.3   20s
 27560 14219 infeasible   59      1200.20601 1163.51033  3.06%  10.7   25s
 32074 17138 1166.53420   24   24 1200.20601 1163.61781  3.05%  11.3   30s
 37119 20459 1175.28144   32   15 1200.20601 1163.70984  3.04%  11.7   35s
 41480 23226 1179.65878   48   32 1200.20601 1163.80554  3.03%  12.1   40s
H43995 24300                    1198.6881879 1163.88096  2.90%  12.3   42s
 45261 25124 1182.11250   51   26 1198.68819 1163.94421  2.90%  12.4   45s
 49371 27203 1177.60706   66   29 1198.68819 1164.15928  2.88%  12.8   50s
H53593 26046                    1191.2288286 1164.41123  2.25%  13.0   55s
 57796 28259 1173.48297   67   27 1191.22883 1164.67037  2.23%  13.2   60s
 62339 30424 1186.01468   46   28 1191.22883 1164.95124  2.21%  13.3   65s
 66370 32285     cutoff   55      1191.22883 1165.23758  2.18%  13.5   70s
 70633 34260 1174.92703   26   25 1191.22883 1165.53742  2.16%  13.7   75s
 75592 37331 infeasible   38      1191.22883 1165.56581  2.15%  13.7   80s
 80001 39898 1174.61072   39   30 1191.22883 1165.61051  2.15%  13.8   85s
 84026 42051 1190.11682   40   17 1191.22883 1165.74940  2.14%  13.9   90s
 87675 43528 1189.37079   33    6 1191.22883 1166.08131  2.11%  14.1   95s
 91843 45710 1173.26304   51   31 1191.22883 1166.31318  2.09%  14.1  100s
 96242 47871 1176.41455   43   18 1191.22883 1166.49723  2.08%  14.1  105s
 100259 49852 1177.68021   43   23 1191.22883 1166.63570  2.06%  14.2  110s
 104039 51482 infeasible   32      1191.22883 1166.74981  2.05%  14.3  115s
 107734 53314 1188.52194   59   24 1191.22883 1166.97436  2.04%  14.3  120s
 111845 55459 1168.30156   37   28 1191.22883 1167.09474  2.03%  14.4  125s
 116263 57802 1189.53253   61   25 1191.22883 1167.16208  2.02%  14.4  130s
 119963 59515 1177.94580   40   26 1191.22883 1167.24985  2.01%  14.4  135s
 123796 61730 1179.31809   58   21 1191.22883 1167.35040  2.00%  14.5  140s
 127885 63832 1183.39675   35   15 1191.22883 1167.39547  2.00%  14.5  145s
 130860 65351 1186.20629   43   24 1191.22883 1167.43092  2.00%  14.6  150s
 134520 67489 1184.35141   63   30 1191.22883 1167.45703  2.00%  14.6  155s
 138734 70158 1172.28123   39    7 1191.22883 1167.45703  2.00%  14.6  160s
 143271 72807 1185.77831   40    6 1191.22883 1167.45703  2.00%  14.6  165s
 147476 75205 1174.22225   43   30 1191.22883 1167.45703  2.00%  14.6  170s
 151497 77442 1167.59995   34   23 1191.22883 1167.45703  2.00%  14.6  175s
 154729 79357 infeasible   44      1191.22883 1167.45703  2.00%  14.6  180s
 158553 81636 1168.39565   36   29 1191.22883 1167.45703  2.00%  14.6  185s
 162742 84138 1167.56107   37   31 1191.22883 1167.45703  2.00%  14.6  190s
 166802 86721 1183.16422   53   15 1191.22883 1167.47862  1.99%  14.6  195s
 170542 88923 1167.73462   32   10 1191.22883 1167.48311  1.99%  14.6  200s
 173780 90615 1167.70792   38   25 1191.22883 1167.49497  1.99%  14.6  205s
 176806 92105 1167.56333   39   20 1191.22883 1167.50714  1.99%  14.6  210s
 180175 93916 1179.71226   38   23 1191.22883 1167.51903  1.99%  14.6  215s
 182617 95321 1188.46454   34   24 1191.22883 1167.52749  1.99%  14.6  220s
 185827 97014 1190.77953   50   18 1191.22883 1167.53260  1.99%  14.6  225s
 189250 98888 1172.83030   70   29 1191.22883 1167.54172  1.99%  14.7  230s
 192533 100687 1175.02751   55   30 1191.22883 1167.55196  1.99%  14.7  235s
 194447 101764 infeasible   57      1191.22883 1167.55932  1.99%  14.7  240s
 196813 103030 1184.26350   47   20 1191.22883 1167.56810  1.99%  14.7  245s
 199708 104487 1174.78300   50   30 1191.22883 1167.58153  1.99%  14.7  250s
 203050 106302 1190.01182   47   20 1191.22883 1167.59352  1.98%  14.8  256s
 204659 107087 1186.08247   44   19 1191.22883 1167.59853  1.98%  14.8  260s
 206874 108249 1176.30991   58    8 1191.22883 1167.60651  1.98%  14.8  265s
 208163 109050 1180.65858   48   16 1191.22883 1167.61078  1.98%  14.8  270s
 209630 109690 infeasible   35      1191.22883 1167.61646  1.98%  14.8  276s
 210486 110212     cutoff   50      1191.22883 1167.62025  1.98%  14.8  280s
 211378 110709 infeasible   40      1191.22883 1167.62490  1.98%  14.8  285s
 212338 111326 1184.02710   41   26 1191.22883 1167.62712  1.98%  14.8  290s
 213644 111926 1170.84477   38   31 1191.22883 1167.63148  1.98%  14.8  295s
